state,accent,accent_source,notes
Alabama,#A6192E,flag,Crimson St. Andrew's cross
Alaska,#002868,official,Blue field of the flag; official blue and gold
Arizona,#C8102E,flag,Red rays of the flag; copper star is too light for white text
Arkansas,#BA0C2F,flag,Red diamond of the flag
California,#B71234,flag,Bear Flag red; official state colors are blue and gold if a blue is preferred
Colorado,#BF0A30,flag,Red C of the flag
Connecticut,#0F3B6C,flag,Blue field of the flag
Delaware,#26567B,flag,Colonial blue of the flag; paired with buff
Florida,#D21034,flag,Red saltire of the flag
Georgia,#BA0C2F,flag,Red of the flag
Hawaii,#00247D,flag,Union Jack blue in the flag canton
Idaho,#0B3D6B,flag,Blue field of the flag
Illinois,#13294B,flag,Navy drawn from the state seal on the flag
Indiana,#002D62,official,Blue field with gold torch; official blue and gold
Iowa,#C8102E,flag,Red band of the tricolor flag
Kansas,#002569,flag,Dark blue field of the flag
Kentucky,#003F87,official,Blue field of the flag; official blue and gold
Louisiana,#003DA5,flag,Blue field with the pelican
Maine,#14284B,flag,Blue field of the flag
Maryland,#C8102E,flag,Crossland red from the very distinctive state flag
Massachusetts,#1F3A6E,flag,Blue of the state seal on the flag
Michigan,#0B5091,flag,Blue field of the flag
Minnesota,#1E2A52,flag,Dark blue of the 2024 flag
Mississippi,#172F54,flag,Navy bars of the 2020 In God We Trust flag
Missouri,#003DA5,official,Blue stripe of the tricolor flag; official red white blue
Montana,#0B3D6B,flag,Blue field of the flag
Nebraska,#164B8C,flag,Blue field of the flag
Nevada,#003876,flag,Cobalt blue field of the flag
New Hampshire,#16366F,flag,Blue field of the flag
New Jersey,#1F6FB2,official,Jersey Blue; paired with buff
New Mexico,#BC1E2D,flag,Red Zia sun on the gold flag field
New York,#16407A,flag,Blue field of the flag
North Carolina,#003A70,flag,Blue union of the flag
North Dakota,#002F6C,flag,Blue field with the eagle
Ohio,#C8102E,flag,Red of the burgee flag
Oklahoma,#2E5A7D,flag,Sky blue Osage shield field darkened for white text
Oregon,#002B5C,official,Navy field of the flag; official navy blue and gold
Pennsylvania,#002D74,official,Blue field with the coat of arms; official blue and gold
Rhode Island,#003DA5,flag,Blue of the Hope ribbon and stars
South Carolina,#002649,official,Indigo blue designated by statute in 2008
South Dakota,#0A3D7C,official,Sky blue field darkened; official blue and gold
Tennessee,#C8102E,flag,Red field of the flag
Texas,#002868,flag,Blue stripe of the Lone Star flag
Utah,#12386B,flag,Dark blue of the 2024 beehive flag
Vermont,#154734,flag,Green from the coat of arms; the Green Mountain State
Virginia,#12325A,flag,Blue field with the state seal
Washington,#154734,flag,Dark green field; the only U.S. state flag with a green field
West Virginia,#0B3D91,official,Blue border of the flag; official old gold and blue
Wisconsin,#12325A,flag,Blue field with the state seal
Wyoming,#002D62,flag,Blue field with the bison silhouette
Puerto Rico,#0050A4,flag,Blue triangle of the flag
